Segment,Start,End
PB2,224,2205
PB2,163,2203
PB1,381,1821
PB2,109,136
PB1,288,1949
PA,178,2074
PB1,186,2071
PA,179,2027
PB1,179,213
PB2,179,2194
PB1,213,2186
PA,299,1953
PA,493,1797
PB1,162,2110
PB1,137,329
PB1,192,2110
PB2,160,2062
PB1,163,2204
PB2,164,2066
PA,141,2074
PB2,156,2152
PB2,164,2084
PA,1989,2027
PA,95,2063
PB2,152,1976
PB2,215,2085
PA,291,1945
PA,84,180
PA,2015,2063
PA,259,1869
PB1,161,2072
PA,122,1953
PB1,242,2018
PB1,167,2016
PB1,223,289
PB1,57,86
PB1,54,77
PB1,137,2149
PB1,113,2165
PB1,150,1857
PB1,168,2078
PB1,112,2074
PA,167,1906
PA,89,2063
PB1,199,2158
PB1,148,270
PA,393,1974
PB1,269,2095
PB1,162,2087
PB1,46,2055
PB1,2142,2165
PB1,148,2037
PB2,2114,2140
PB1,54,165
PB1,119,2129
PA,97,1810
PA,157,2026
PB2,207,2077
PB2,176,2122
PB1,46,141
PA,359,1797
PB2,183,2139
PA,2026,2056
PA,302,1874
PA,149,1959
PB1,269,1949
PB1,196,2012
PA,234,2012
PA,247,1844
PA,2001,2063
PB2,159,2088
PB1,373,1959
PA,291,1742
PA,246,2074
PB1,115,2165
PB1,142,2129
PB2,240,2138
PB1,213,2045
PA,171,2027
PB2,258,2164
HA,47,107
PA,304,1986
