,key,Start,End,segment,PN6,PN7,PN8,PN9,PN13,PN14,PN15,PN16,PN17,PN22,PN24,PN25,PN31,PN32,PN33,PN38,PN40,PN41,PN42,PN45,PN46,PN47,PN48,sum_reads,classification,max_diff,slope,rank,cluster
19116,PB1_218_2165,218,2165,PB1,0.0,0.0,3.0,0.0,5.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,de_novo_loss,5.0,-0.1017786561264822,5763.0,1.0
12881,PB1_112_1972,112,1972,PB1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,de_novo_loss,5.0,-0.039525691699604744,5763.0,1.0
15158,PB1_163_2197,163,2197,PB1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,de_novo_loss,5.0,-0.029644268774703553,5763.0,1.0
19124,PB1_218_270,218,270,PB1,0.0,5.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,de_novo_loss,5.0,-0.12450592885375493,5763.0,1.0
20569,PB1_279_2177,279,2177,PB1,0.0,0.0,3.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,de_novo_loss,5.0,-0.0741106719367589,5763.0,1.0
16044,PB1_183_2156,183,2156,PB1,0.0,3.0,0.0,1.0,2.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,de_novo_loss,5.0,-0.07806324110671935,5763.0,1.0
22268,PB1_368_2056,368,2056,PB1,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,de_novo_loss,5.0,-0.038537549407114624,5763.0,1.0
17209,PB1_196_2080,196,2080,PB1,0.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,de_novo_loss,5.0,-0.045454545454545456,5763.0,1.0
13150,PB1_119_2141,119,2141,PB1,0.0,5.0,2.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,de_novo_loss,5.0,-0.10474308300395253,5763.0,1.0
15129,PB1_163_2026,163,2026,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,de_novo_loss,5.0,-0.017786561264822132,5763.0,1.0
14479,PB1_148_347,148,347,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,de_novo_loss,5.0,-0.009881422924901184,5763.0,1.0
16343,PB1_1883_1988,1883,1988,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,de_novo_loss,5.0,-0.009881422924901184,5763.0,1.0
19157,PB1_2199_2257,2199,2257,PB1,0.0,3.0,5.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,de_novo_loss,5.0,-0.12351778656126483,5763.0,1.0
14529,PB1_150_2061,150,2061,PB1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,de_novo_loss,5.0,-0.039525691699604744,5763.0,1.0
15454,PB1_167_2258,167,2258,PB1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,de_novo_loss,5.0,0.009881422924901186,5763.0,1.0
15557,PB1_170_2045,170,2045,PB1,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,de_novo_loss,5.0,-0.06916996047430829,5763.0,1.0
17369,PB1_1981_2129,1981,2129,PB1,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.02173913043478261,8067.0,1.0
17752,PB1_2015_2158,2015,2158,PB1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,0.01284584980237154,8067.0,1.0
17422,PB1_1987_2149,1987,2149,PB1,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.05731225296442687,8067.0,1.0
18239,PB1_2069_2197,2069,2197,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.014822134387351778,8067.0,1.0
21328,PB1_325_2114,325,2114,PB1,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.034584980237154145,8067.0,1.0
18244,PB1_206_2002,206,2002,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,0.04446640316205533,8067.0,1.0
24047,PB1_55_1104,55,1104,PB1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.027667984189723323,8067.0,1.0
21112,PB1_309_2157,309,2157,PB1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.03359683794466403,8067.0,1.0
17439,PB1_198_2002,198,2002,PB1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.024703557312252968,8067.0,1.0
19325,PB1_2237_2259,2237,2259,PB1,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.019762845849802372,8067.0,1.0
19875,PB1_253_2141,253,2141,PB1,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.037549407114624504,8067.0,1.0
18128,PB1_205_1971,205,1971,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,0.006916996047430828,8067.0,1.0
18224,PB1_2066_2205,2066,2205,PB1,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.04446640316205534,8067.0,1.0
17651,PB1_2007_2110,2007,2110,PB1,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.04545454545454546,8067.0,1.0
18030,PB1_2051_2278,2051,2278,PB1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,0.00889328063241107,8067.0,1.0
24814,PB1_691_1958,691,1958,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.02272727272727273,8067.0,1.0
24933,PB1_72_2128,72,2128,PB1,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.042490118577075096,8067.0,1.0
20433,PB1_275_299,275,299,PB1,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.03359683794466403,8067.0,1.0
13318,PB1_125_2121,125,2121,PB1,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.04545454545454546,8067.0,1.0
24788,PB1_68_2091,68,2091,PB1,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.004940711462450593,8067.0,1.0
20374,PB1_271_2081,271,2081,PB1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.026679841897233204,8067.0,1.0
20330,PB1_270_1842,270,1842,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,6.0,de_novo_loss,4.0,0.04940711462450593,8067.0,1.0
20232,PB1_268_2113,268,2113,PB1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.004940711462450593,8067.0,1.0
17795,PB1_2029_2110,2029,2110,PB1,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.03557312252964426,8067.0,1.0
25384,PB1_893_2164,893,2164,PB1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.022727272727272728,8067.0,1.0
18425,PB1_2087_2138,2087,2138,PB1,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.0474308300395257,8067.0,1.0
19813,PB1_241_1840,241,1840,PB1,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.02371541501976285,8067.0,1.0
19217,PB1_2202_2236,2202,2236,PB1,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.06126482213438736,8067.0,1.0
19888,PB1_254_1985,254,1985,PB1,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.042490118577075096,8067.0,1.0
19988,PB1_258_1954,258,1954,PB1,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.049407114624505935,8067.0,1.0
19024,PB1_2175_2256,2175,2256,PB1,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.0474308300395257,8067.0,1.0
20007,PB1_258_2095,258,2095,PB1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.025691699604743087,8067.0,1.0
19011,PB1_216_2114,216,2114,PB1,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.05039525691699605,8067.0,1.0
25133,PB1_78_116,78,116,PB1,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.03162055335968379,8067.0,1.0
19054,PB1_217_2099,217,2099,PB1,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.05533596837944665,8067.0,1.0
19807,PB1_240_282,240,282,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,0.023715415019762844,8067.0,1.0
24485,PB1_63_129,63,129,PB1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.01185770750988142,8067.0,1.0
25442,PB1_94_121,94,121,PB1,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.06324110671936758,8067.0,1.0
22196,PB1_363_1941,363,1941,PB1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.025691699604743087,8067.0,1.0
24677,PB1_677_1559,677,1559,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,7.0,de_novo_loss,4.0,0.056324110671936746,8067.0,1.0
18546,PB1_2105_2144,2105,2144,PB1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.025691699604743087,8067.0,1.0
18730,PB1_212_289,212,289,PB1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.026679841897233204,8067.0,1.0
15668,PB1_174_1577,174,1577,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.007905138339920946,8067.0,1.0
17124,PB1_1961_2245,1961,2245,PB1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.025691699604743087,8067.0,1.0
16747,PB1_1935_2053,1935,2053,PB1,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.03162055335968379,8067.0,1.0
14712,PB1_156_2088,156,2088,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.006916996047430834,8067.0,1.0
23082,PB1_424_2106,424,2106,PB1,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.0474308300395257,8067.0,1.0
15115,PB1_163_1702,163,1702,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,de_novo_loss,4.0,0.029644268774703556,8067.0,1.0
16836,PB1_193_224,193,224,PB1,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.037549407114624504,8067.0,1.0
14944,PB1_161_1846,161,1846,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.005928853754940714,8067.0,1.0
14766,PB1_157_2041,157,2041,PB1,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.019762845849802372,8067.0,1.0
15380,PB1_167_1961,167,1961,PB1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.029644268774703556,8067.0,1.0
17032,PB1_195_1947,195,1947,PB1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.04347826086956523,8067.0,1.0
15506,PB1_1696_1731,1696,1731,PB1,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.03260869565217391,8067.0,1.0
21760,PB1_344_1990,344,1990,PB1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.03162055335968379,8067.0,1.0
14547,PB1_150_2157,150,2157,PB1,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.037549407114624504,8067.0,1.0
15795,PB1_176_2110,176,2110,PB1,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.038537549407114624,8067.0,1.0
15954,PB1_181_2013,181,2013,PB1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.05039525691699605,8067.0,1.0
14683,PB1_155_2132,155,2132,PB1,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.0474308300395257,8067.0,1.0
23406,PB1_460_2129,460,2129,PB1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.0029644268774703564,8067.0,1.0
16866,PB1_1941_2149,1941,2149,PB1,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.05731225296442688,8067.0,1.0
17246,PB1_1970_2008,1970,2008,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,de_novo_loss,4.0,0.049407114624505935,8067.0,1.0
16549,PB1_190_2230,190,2230,PB1,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.054347826086956534,8067.0,1.0
17347,PB1_197_2137,197,2137,PB1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,de_novo_loss,4.0,-0.019762845849802372,8067.0,1.0
16441,PB1_1896_2141,1896,2141,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.02371541501976285,8067.0,1.0
16374,PB1_188_1960,188,1960,PB1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.029644268774703556,8067.0,1.0
17351,PB1_197_2165,197,2165,PB1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.026679841897233204,8067.0,1.0
16115,PB1_184_2105,184,2105,PB1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.02173913043478261,8067.0,1.0
16639,PB1_192_1884,192,1884,PB1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.03063241106719368,8067.0,1.0
17008,PB1_1958_1994,1958,1994,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,0.022727272727272717,8067.0,1.0
17350,PB1_197_2158,197,2158,PB1,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.0474308300395257,8067.0,1.0
17098,PB1_195_2207,195,2207,PB1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.029644268774703556,8067.0,1.0
17115,PB1_195_339,195,339,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,0.016798418972332013,8067.0,1.0
17384,PB1_1984_2054,1984,2054,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.019762845849802372,8067.0,1.0
17436,PB1_198_1989,198,1989,PB1,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,de_novo_loss,4.0,-0.04545454545454546,8067.0,1.0
15132,PB1_163_2047,163,2047,PB1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,de_novo_loss,4.0,0.034584980237154145,8067.0,1.0
22776,PB1_393_2045,393,2045,PB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,de_novo_loss,4.0,-0.01284584980237154,8067.0,1.0
